element_ID	chr	start	end	p_value
mirna.prom::chr1:3500290-3500303_1::NA::NA	chr1	3500290	3500303	1
mirna.prom::chr1:37940352-37940396_1::NA::NA	chr1	37940352	37940396	0.0187491931069621
mirna.prom::chr1:37986536-38014413_5::NA::NA	chr1	37986536	38014413	0.513717161478975
mirna.prom::chr1:38504753-38530484_3::NA::NA	chr1	38504753	38530484	0.189068600282314
mirna.prom::chr1:41204709-41204761_1::NA::NA	chr1	41204709	41204761	0.0481974633714874
mirna.prom::chr1:41220295-41220695_1::NA::NA	chr1	41220295	41220695	0.749452906157434
mirna.prom::chr1:41220295-41224674_2::NA::NA	chr1	41220295	41224674	0.566629150175627
mirna.prom::chr1:43831790-43831932_1::NA::NA	chr1	43831790	43831932	0.0423113086682356
mirna.prom::chr1:43903008-43910754_4::NA::NA	chr1	43903008	43910754	0.0621508237629749
mirna.prom::chr1:44966702-44967102_1::NA::NA	chr1	44966702	44967102	0.0342963631416387
mirna.prom::chr1:52302556-52306207_2::NA::NA	chr1	52302556	52306207	0.134887632754168
mirna.prom::chr1:54519473-54519474_1::NA::NA	chr1	54519473	54519474	1
mirna.prom::chr1:55680986-55688051_2::NA::NA	chr1	55680986	55688051	0.966011882890919
mirna.prom::chr1:5931381-5972011_4::NA::NA	chr1	5931381	5972011	0.902116337978448
mirna.prom::chr1:60228742-60232414_2::NA::NA	chr1	60228742	60232414	0.996390093359094
mirna.prom::chr1:62549031-62594413_2::NA::NA	chr1	62549031	62594413	0.0605642725637313
mirna.prom::chr1:63793665-63793696_1::NA::NA	chr1	63793665	63793696	1
mirna.prom::chr1:6500637-6531811_4::NA::NA	chr1	6500637	6531811	0.560478481085976
mirna.prom::chr1:67066180-67066580_1::NA::NA	chr1	67066180	67066580	0.165187677338659
mirna.prom::chr1:71535283-71535556_1::NA::NA	chr1	71535283	71535556	0.866162799587233
mirna.prom::chr1:77515645-77515904_1::NA::NA	chr1	77515645	77515904	0.407879955097439
mirna.prom::chr1:86836490-86841909_3::NA::NA	chr1	86836490	86841909	0.148848947234762
mirna.prom::chr1:8936230-8938549_2::NA::NA	chr1	8936230	8938549	0.237139251841361
mirna.prom::chr1:9242804-9259068_2::NA::NA	chr1	9242804	9259068	0.97179032385091
mirna.prom::chr1:94312086-94312486_2::NA::NA	chr1	94312086	94312486	1
mirna.prom::chr1:98511014-98511316_1::NA::NA	chr1	98511014	98511316	0.419770072738772
mirna.prom::chr1:98515419-98515618_1::NA::NA	chr1	98515419	98515618	1
mirna.prom::chr10:100227546-100227946_1::NA::NA	chr10	100227546	100227946	0.83219578637943
mirna.prom::chr10:103326294-103356036_3::NA::NA	chr10	103326294	103356036	0.897651942115522
mirna.prom::chr10:103377576-103410352_5::NA::NA	chr10	103377576	103410352	0.942887724808855
mirna.prom::chr10:104169047-104169435_1::NA::NA	chr10	104169047	104169435	0.150849267217286
mirna.prom::chr10:105844332-105844732_1::NA::NA	chr10	105844332	105844732	0.949909560328141
mirna.prom::chr10:106004592-106015268_2::NA::NA	chr10	106004592	106015268	0.355504197426999
mirna.prom::chr10:112708221-112734857_2::NA::NA	chr10	112708221	112734857	0.490852230445582
mirna.prom::chr10:114345687-114358658_3::NA::NA	chr10	114345687	114358658	0.946421590570929
mirna.prom::chr10:115933753-115933761_1::NA::NA	chr10	115933753	115933761	1
mirna.prom::chr10:121690618-121693026_4::NA::NA	chr10	121690618	121693026	0.442954712923395
mirna.prom::chr10:12209898-12211236_2::NA::NA	chr10	12209898	12211236	0.383458157951177
mirna.prom::chr10:12611227-12611627_1::NA::NA	chr10	12611227	12611627	0.205670356830539
mirna.prom::chr10:126751936-126752336_1::NA::NA	chr10	126751936	126752336	0.61604619388712
mirna.prom::chr10:12781129-12781529_1::NA::NA	chr10	12781129	12781529	0.943611616589522
mirna.prom::chr10:131645458-131649809_2::NA::NA	chr10	131645458	131649809	0.935764651460145
mirna.prom::chr10:135067089-135067489_1::NA::NA	chr10	135067089	135067489	0.371604091669764
mirna.prom::chr10:135186644-135186743_1::NA::NA	chr10	135186644	135186743	0.322078720223469
mirna.prom::chr10:21786391-21789624_2::NA::NA	chr10	21786391	21789624	0.350433154126814
mirna.prom::chr10:23632547-23632693_1::NA::NA	chr10	23632547	23632693	1
mirna.prom::chr10:28591745-28591783_1::NA::NA	chr10	28591745	28591783	0.142883970850945
mirna.prom::chr10:29940594-29940994_1::NA::NA	chr10	29940594	29940994	0.191574867097131
mirna.prom::chr10:30687792-30692125_2::NA::NA	chr10	30687792	30692125	0.465079734815377
mirna.prom::chr10:35379053-35379092_1::NA::NA	chr10	35379053	35379092	1
mirna.prom::chr10:43447036-43447436_2::NA::NA	chr10	43447036	43447436	0.6502278274642
mirna.prom::chr10:53021399-53021799_1::NA::NA	chr10	53021399	53021799	0.94184944101522
mirna.prom::chr10:6205885-6243745_3::NA::NA	chr10	6205885	6243745	0.987733834624266
mirna.prom::chr10:65132834-65133234_1::NA::NA	chr10	65132834	65133234	0.989951220731877
mirna.prom::chr10:69172349-69172749_1::NA::NA	chr10	69172349	69172749	9.13526211294328e-06
mirna.prom::chr10:694729-695129_1::NA::NA	chr10	694729	695129	0.772186773822073
mirna.prom::chr10:73533040-73537925_2::NA::NA	chr10	73533040	73537925	0.237685201572201
mirna.prom::chr10:74472261-74472634_1::NA::NA	chr10	74472261	74472634	0.818100922681333
mirna.prom::chr10:77311776-77313578_2::NA::NA	chr10	77311776	77313578	0.216552361919445
mirna.prom::chr10:88043276-88043676_1::NA::NA	chr10	88043276	88043676	0.542625301790177
mirna.prom::chr10:91352601-91352947_1::NA::NA	chr10	91352601	91352947	0.703816548918533
mirna.prom::chr10:97849995-97850168_1::NA::NA	chr10	97849995	97850168	0.95624625007714
mirna.prom::chr10:98592238-98593465_3::NA::NA	chr10	98592238	98593465	0.769295960091112
mirna.prom::chr11:10530923-10530925_1::NA::NA	chr11	10530923	10530925	1
mirna.prom::chr11:111383279-111383582_1::NA::NA	chr11	111383279	111383582	0.591465164543168
mirna.prom::chr11:11815169-11815569_1::NA::NA	chr11	11815169	11815569	0.540582352812191
mirna.prom::chr11:118502345-118505914_4::NA::NA	chr11	118502345	118505914	0.420224417040348
mirna.prom::chr11:118773637-118780421_3::NA::NA	chr11	118773637	118780421	0.515770822828168
mirna.prom::chr11:119186530-119188046_2::NA::NA	chr11	119186530	119188046	0.487169097837613
mirna.prom::chr11:121970947-121971075_1::NA::NA	chr11	121970947	121971075	1
mirna.prom::chr11:122030003-122051037_2::NA::NA	chr11	122030003	122051037	0.102897843287419
mirna.prom::chr11:1273760-1273994_1::NA::NA	chr11	1273760	1273994	7.31460880923379e-05
mirna.prom::chr11:128391601-128391801_1::NA::NA	chr11	128391601	128391801	0.153857883201934
mirna.prom::chr11:133788546-133789630_2::NA::NA	chr11	133788546	133789630	0.68143096296016
mirna.prom::chr11:16030117-16038816_2::NA::NA	chr11	16030117	16038816	0.988315700165424
mirna.prom::chr11:18386300-18386455_1::NA::NA	chr11	18386300	18386455	0.245517518444866
mirna.prom::chr11:1929359-1929759_1::NA::NA	chr11	1929359	1929759	0.704354938884848
mirna.prom::chr11:19561510-19561910_1::NA::NA	chr11	19561510	19561910	0.808565506240074
mirna.prom::chr11:19798477-19798812_1::NA::NA	chr11	19798477	19798812	0.963390317996545
mirna.prom::chr11:2019105-2019234_1::NA::NA	chr11	2019105	2019234	0.4505835138833
mirna.prom::chr11:2162668-2162709_1::NA::NA	chr11	2162668	2162709	1
mirna.prom::chr11:2187799-2188046_2::NA::NA	chr11	2187799	2188046	0.479671581912943
mirna.prom::chr11:43556810-43578991_4::NA::NA	chr11	43556810	43578991	0.204113746620516
mirna.prom::chr11:43596658-43602886_4::NA::NA	chr11	43596658	43602886	0.971396083043813
mirna.prom::chr11:46367186-46397857_6::NA::NA	chr11	46367186	46397857	0.848636182625978
mirna.prom::chr11:46485169-46485569_1::NA::NA	chr11	46485169	46485569	0.383356702354712
mirna.prom::chr11:46781978-46782000_1::NA::NA	chr11	46781978	46782000	0.0249099880168704
mirna.prom::chr11:47377117-47422088_2::NA::NA	chr11	47377117	47422088	0.352486982493404
mirna.prom::chr11:48092532-48092932_1::NA::NA	chr11	48092532	48092932	0.877417107112481
mirna.prom::chr11:569218-576039_2::NA::NA	chr11	569218	576039	0.329854075144111
mirna.prom::chr11:57405770-57407233_3::NA::NA	chr11	57405770	57407233	0.962787780725727
mirna.prom::chr11:61248791-61248828_1::NA::NA	chr11	61248791	61248828	1
mirna.prom::chr11:61659206-61687948_2::NA::NA	chr11	61659206	61687948	1
mirna.prom::chr11:62569203-62609034_4::NA::NA	chr11	62569203	62609034	0.144611709284093
mirna.prom::chr11:64109948-64110348_3::NA::NA	chr11	64109948	64110348	0.354790276363377
mirna.prom::chr11:64667715-64668349_2::NA::NA	chr11	64667715	64668349	0.94810742297794
mirna.prom::chr11:64668141-64668349_1::NA::NA	chr11	64668141	64668349	1
mirna.prom::chr11:64681992-64701148_3::NA::NA	chr11	64681992	64701148	0.680147442124685
mirna.prom::chr11:64781863-64781877_1::NA::NA	chr11	64781863	64781877	1
mirna.prom::chr11:65190191-65190244_1::NA::NA	chr11	65190191	65190244	0.000132714690871806
mirna.prom::chr11:65398081-65402196_3::NA::NA	chr11	65398081	65402196	0.516840835901366
mirna.prom::chr11:66710830-66711230_1::NA::NA	chr11	66710830	66711230	0.752749226123433
mirna.prom::chr11:66790520-66790615_1::NA::NA	chr11	66790520	66790615	1
mirna.prom::chr11:67250734-67250818_1::NA::NA	chr11	67250734	67250818	0.501214711332397
mirna.prom::chr11:68853707-68853931_1::NA::NA	chr11	68853707	68853931	0.500547588194346
mirna.prom::chr11:70124282-70125503_2::NA::NA	chr11	70124282	70125503	0.0627828675305133
mirna.prom::chr11:70732283-70732373_1::NA::NA	chr11	70732283	70732373	0.204782410597631
mirna.prom::chr11:71159681-71172468_3::NA::NA	chr11	71159681	71172468	0.643523382220287
mirna.prom::chr11:72353270-72353275_1::NA::NA	chr11	72353270	72353275	1
mirna.prom::chr11:74109891-74110281_1::NA::NA	chr11	74109891	74110281	0.532840843321444
mirna.prom::chr11:74442630-74457392_2::NA::NA	chr11	74442630	74457392	0.150049191358129
mirna.prom::chr11:79114056-79114456_1::NA::NA	chr11	79114056	79114456	0.0522446425001333
mirna.prom::chr11:79114056-79152041_2::NA::NA	chr11	79114056	79152041	0.127727915055443
mirna.prom::chr11:79151992-79152041_1::NA::NA	chr11	79151992	79152041	1
mirna.prom::chr11:87908835-87908865_1::NA::NA	chr11	87908835	87908865	1
mirna.prom::chr11:9111926-9112316_1::NA::NA	chr11	9111926	9112316	0.89581486852195
mirna.prom::chr12:100535682-100536082_1::NA::NA	chr12	100535682	100536082	0.769736664749579
mirna.prom::chr12:104324348-104324385_1::NA::NA	chr12	104324348	104324385	1
mirna.prom::chr12:108986193-108986207_1::NA::NA	chr12	108986193	108986207	1
mirna.prom::chr12:110270960-110271006_1::NA::NA	chr12	110270960	110271006	1
mirna.prom::chr12:111707507-111731229_3::NA::NA	chr12	111707507	111731229	0.685046183711131
mirna.prom::chr12:112204925-112204963_1::NA::NA	chr12	112204925	112204963	1
mirna.prom::chr12:112601561-112601777_1::NA::NA	chr12	112601561	112601777	0.838843514642863
mirna.prom::chr12:113599295-113601325_3::NA::NA	chr12	113599295	113601325	0.168012189056427
mirna.prom::chr12:116622034-116622434_1::NA::NA	chr12	116622034	116622434	0.365983639514079
mirna.prom::chr12:120632713-120632716_1::NA::NA	chr12	120632713	120632716	1
mirna.prom::chr12:121154373-121157570_4::NA::NA	chr12	121154373	121157570	0.727569591973786
mirna.prom::chr12:121884658-121885539_2::NA::NA	chr12	121884658	121885539	0.827785659673773
mirna.prom::chr12:124018465-124018511_1::NA::NA	chr12	124018465	124018511	0.271933489092254
mirna.prom::chr12:124826178-124829925_2::NA::NA	chr12	124826178	124829925	0.966743185122733
mirna.prom::chr12:128707727-128708127_1::NA::NA	chr12	128707727	128708127	0.00382713367668006
mirna.prom::chr12:12873745-12879105_4::NA::NA	chr12	12873745	12879105	0.897444685545486
mirna.prom::chr12:128751646-128751747_1::NA::NA	chr12	128751646	128751747	1
mirna.prom::chr12:13044604-13044707_1::NA::NA	chr12	13044604	13044707	1
mirna.prom::chr12:133148936-133149092_1::NA::NA	chr12	133148936	133149092	1
mirna.prom::chr12:1770986-1771386_1::NA::NA	chr12	1770986	1771386	0.77223732170296
mirna.prom::chr12:24330214-24330614_1::NA::NA	chr12	24330214	24330614	0.359890186855528
mirna.prom::chr12:48478641-48478832_1::NA::NA	chr12	48478641	48478832	0.15203189246428
mirna.prom::chr12:49089760-49090011_2::NA::NA	chr12	49089760	49090011	1
mirna.prom::chr12:49165856-49166256_2::NA::NA	chr12	49165856	49166256	1
mirna.prom::chr12:53440952-53448561_3::NA::NA	chr12	53440952	53448561	0.982816068673543
mirna.prom::chr12:54379897-54384207_4::NA::NA	chr12	54379897	54384207	1
mirna.prom::chr12:54424607-54424881_1::NA::NA	chr12	54424607	54424881	1
mirna.prom::chr12:54687185-54719136_3::NA::NA	chr12	54687185	54719136	0.529501989451656
mirna.prom::chr12:57578241-57588116_3::NA::NA	chr12	57578241	57588116	0.887984357170995
mirna.prom::chr12:57902300-57902700_1::NA::NA	chr12	57902300	57902700	0.0294965452990999
mirna.prom::chr12:57914070-57921906_4::NA::NA	chr12	57914070	57921906	0.371407754156457
mirna.prom::chr12:58258970-58263376_3::NA::NA	chr12	58258970	58263376	0.588480968940481
mirna.prom::chr12:62653645-62653751_1::NA::NA	chr12	62653645	62653751	1
mirna.prom::chr12:62997414-62997465_1::NA::NA	chr12	62997414	62997465	1
mirna.prom::chr12:65003829-65004092_1::NA::NA	chr12	65003829	65004092	0.956430654400051
mirna.prom::chr12:66430045-66431607_2::NA::NA	chr12	66430045	66431607	0.847195340007451
mirna.prom::chr12:69677809-69678176_1::NA::NA	chr12	69677809	69678176	0.908705177945704
mirna.prom::chr12:7037185-7064709_3::NA::NA	chr12	7037185	7064709	0.439692397753265
mirna.prom::chr12:79775422-79775822_1::NA::NA	chr12	79775422	79775822	0.0125434073739778
mirna.prom::chr12:81241372-81258938_2::NA::NA	chr12	81241372	81258938	0.822844366939927
mirna.prom::chr12:9393141-9393252_1::NA::NA	chr12	9393141	9393252	0.197745867292839
mirna.prom::chr12:94943312-94943598_1::NA::NA	chr12	94943312	94943598	0.508262377301453
mirna.prom::chr12:95656203-95680998_3::NA::NA	chr12	95656203	95680998	0.868562692890963
mirna.prom::chr12:95656203-95680998_4::NA::NA	chr12	95656203	95680998	0.927121296051543
mirna.prom::chr12:97856656-97858785_2::NA::NA	chr12	97856656	97858785	0.753960156975022
mirna.prom::chr12:97954951-97955351_1::NA::NA	chr12	97954951	97955351	0.287121986330993
mirna.prom::chr12:98362783-98363183_1::NA::NA	chr12	98362783	98363183	0.390694218866164
mirna.prom::chr12:98391973-98392373_1::NA::NA	chr12	98391973	98392373	0.0392673557907468
mirna.prom::chr13:102738485-102738885_1::NA::NA	chr13	102738485	102738885	0.111724277061775
mirna.prom::chr13:110951177-110951577_1::NA::NA	chr13	110951177	110951577	0.632610144051948
mirna.prom::chr13:113909445-113909684_1::NA::NA	chr13	113909445	113909684	1
mirna.prom::chr13:21009720-21010120_1::NA::NA	chr13	21009720	21010120	0.90627299553785
mirna.prom::chr13:41345104-41345109_1::NA::NA	chr13	41345104	41345109	1
mirna.prom::chr13:41363832-41363877_1::NA::NA	chr13	41363832	41363877	1
mirna.prom::chr13:41707082-41707129_1::NA::NA	chr13	41707082	41707129	1
mirna.prom::chr13:42154788-42155188_1::NA::NA	chr13	42154788	42155188	0.719554731742182
mirna.prom::chr13:50655935-50655952_1::NA::NA	chr13	50655935	50655952	1
mirna.prom::chr13:53370157-53370557_1::NA::NA	chr13	53370157	53370557	0.0184774130288727
mirna.prom::chr13:66583190-66583590_1::NA::NA	chr13	66583190	66583590	0.22919132506837
mirna.prom::chr13:78272768-78272815_1::NA::NA	chr13	78272768	78272815	1
mirna.prom::chr13:90874546-90874946_1::NA::NA	chr13	90874546	90874946	0.884571181034275
mirna.prom::chr13:91999751-92000073_1::NA::NA	chr13	91999751	92000073	0.00682513948364053
mirna.prom::chr13:97067381-97067781_1::NA::NA	chr13	97067381	97067781	0.415480555645912
mirna.prom::chr13:98828450-98838899_2::NA::NA	chr13	98828450	98838899	0.401007056753588
mirna.prom::chr14:100531957-100531964_1::NA::NA	chr14	100531957	100531964	1
mirna.prom::chr14:100610573-100625732_2::NA::NA	chr14	100610573	100625732	0.0830687746461694
mirna.prom::chr14:100773070-100773249_1::NA::NA	chr14	100773070	100773249	0.801094969965555
mirna.prom::chr14:101292264-101292620_2::NA::NA	chr14	101292264	101292620	0.0757643515935627
mirna.prom::chr14:101371211-101371611_1::NA::NA	chr14	101371211	101371611	0.836754063361205
mirna.prom::chr14:101453728-101454128_1::NA::NA	chr14	101453728	101454128	0.0311593682062802
mirna.prom::chr14:101489597-101489997_2::NA::NA	chr14	101489597	101489997	0.742461042617696
mirna.prom::chr14:101491248-101491648_2::NA::NA	chr14	101491248	101491648	0.516393330239539
mirna.prom::chr14:101512580-101512980_2::NA::NA	chr14	101512580	101512980	0.336259789275244
mirna.prom::chr14:101527099-101527499_1::NA::NA	chr14	101527099	101527499	0.234550229442155
mirna.prom::chr14:102030484-102050574_3::NA::NA	chr14	102030484	102050574	0.922374888411308
mirna.prom::chr14:102975852-102975859_1::NA::NA	chr14	102975852	102975859	1
mirna.prom::chr14:104583357-104583741_1::NA::NA	chr14	104583357	104583741	0.956956679798322
mirna.prom::chr14:104602369-104604365_2::NA::NA	chr14	104602369	104604365	0.999594543196977
mirna.prom::chr14:105156173-105169200_3::NA::NA	chr14	105156173	105169200	0.626983368121141
mirna.prom::chr14:105617268-105617515_2::NA::NA	chr14	105617268	105617515	1
mirna.prom::chr14:106333378-106333778_1::NA::NA	chr14	106333378	106333778	0.830026977446403
mirna.prom::chr14:23862286-23879070_3::NA::NA	chr14	23862286	23879070	0.673171397478254
mirna.prom::chr14:23862286-23904727_4::NA::NA	chr14	23862286	23904727	0.538632159431185
mirna.prom::chr14:23904693-23904727_1::NA::NA	chr14	23904693	23904727	0.088715956049265
mirna.prom::chr14:23928510-23928910_1::NA::NA	chr14	23928510	23928910	0.218007532335566
mirna.prom::chr14:24620885-24621272_2::NA::NA	chr14	24620885	24621272	0.718554870297572
mirna.prom::chr14:27340146-27342128_2::NA::NA	chr14	27340146	27342128	0.179503069701994
mirna.prom::chr14:28142075-28142475_2::NA::NA	chr14	28142075	28142475	0.307044207413521
mirna.prom::chr14:31509192-31509592_1::NA::NA	chr14	31509192	31509592	0.722915811006652
mirna.prom::chr14:48238987-48239387_1::NA::NA	chr14	48238987	48239387	0.0478249553760105
mirna.prom::chr14:50766799-50789208_2::NA::NA	chr14	50766799	50789208	0.202256437276566
mirna.prom::chr14:60132633-60133033_1::NA::NA	chr14	60132633	60133033	0.150959317465259
mirna.prom::chr14:64608247-64608581_1::NA::NA	chr14	64608247	64608581	0.584782363141288
mirna.prom::chr14:65807772-65808172_1::NA::NA	chr14	65807772	65808172	0.107815956854871
mirna.prom::chr14:74187834-74189693_2::NA::NA	chr14	74187834	74189693	0.149740011286502
mirna.prom::chr14:77702579-77702946_1::NA::NA	chr14	77702579	77702946	0.766032268347302
mirna.prom::chr14:94423072-94423105_1::NA::NA	chr14	94423072	94423105	1
mirna.prom::chr14:95623959-95623981_1::NA::NA	chr14	95623959	95623981	1
mirna.prom::chr15:102501637-102501975_2::NA::NA	chr15	102501637	102501975	1
mirna.prom::chr15:20988412-21022515_2::NA::NA	chr15	20988412	21022515	0.994370179665777
mirna.prom::chr15:21112411-21112811_1::NA::NA	chr15	21112411	21112811	1
mirna.prom::chr15:22676365-22676765_1::NA::NA	chr15	22676365	22676765	0.84037982558286
mirna.prom::chr15:26095495-26095895_1::NA::NA	chr15	26095495	26095895	0.906549207179178
mirna.prom::chr15:28753954-28754015_1::NA::NA	chr15	28753954	28754015	1
mirna.prom::chr15:31372636-31373036_1::NA::NA	chr15	31372636	31373036	0.580248558150626
mirna.prom::chr15:35690187-35696263_3::NA::NA	chr15	35690187	35696263	0.721863080111546
mirna.prom::chr15:36208719-36209119_1::NA::NA	chr15	36208719	36209119	0.47185561485259
mirna.prom::chr15:37284259-37308542_7::NA::NA	chr15	37284259	37308542	0.72751046378185
mirna.prom::chr15:41952809-41952832_1::NA::NA	chr15	41952809	41952832	0.191365657566559
mirna.prom::chr15:42174363-42174460_1::NA::NA	chr15	42174363	42174460	1
mirna.prom::chr15:44092996-44118960_3::NA::NA	chr15	44092996	44118960	0.829596816019696
mirna.prom::chr15:50646984-50647121_1::NA::NA	chr15	50646984	50647121	0.45471935755389
mirna.prom::chr15:51559503-51570796_2::NA::NA	chr15	51559503	51570796	0.347835205741866
mirna.prom::chr15:51610470-51610489_1::NA::NA	chr15	51610470	51610489	1
mirna.prom::chr15:52587757-52587766_1::NA::NA	chr15	52587757	52587766	1
mirna.prom::chr15:55665232-55666502_3::NA::NA	chr15	55665232	55666502	1
mirna.prom::chr15:55666102-55666502_2::NA::NA	chr15	55666102	55666502	1
mirna.prom::chr15:62599304-62599704_1::NA::NA	chr15	62599304	62599704	0.296329807393068
mirna.prom::chr15:63069115-63069511_1::NA::NA	chr15	63069115	63069511	0.724287146147002
mirna.prom::chr15:65061810-65062210_1::NA::NA	chr15	65061810	65062210	0.681885287806986
