id	p	q	method	tumor
gc19_pc.cds::gencode::YLPM1::ENSG00000119596.13	0.0002340159	0.06189383407534246	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::CHD4::ENSG00000111642.10	0.0002350195	0.06189383407534246	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::SPRED2::ENSG00000198369.5	0.00024174880000000002	0.06280568486486487	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::MXRA8::ENSG00000162576.12	0.0002510238	0.0643457674	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::COL5A1::ENSG00000130635.11	0.000267274	0.06760977171052632	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::PPP2R1A::ENSG00000105568.13	0.0002747473	0.06859762133116883	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::GLI1::ENSG00000111087.5	0.00029134939999999997	0.07181015660256408	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::HNF1B::ENSG00000108753.8	0.0003173559	0.0772299642721519	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::SETDB1::ENSG00000143379.8	0.0003374104	0.08108393675	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::ASCL4::ENSG00000187855.5	0.0003619165	0.0858993174382716	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::ZFP36L2::ENSG00000152518.5	0.0003778697	0.08859201198170731	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::SUSD2::ENSG00000099994.10	0.0003830388	0.08872193891566266	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::FLT3LG::ENSG00000090554.8	0.0004069176	0.09313084357142858	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::AHSG::ENSG00000145192.8	0.0004231952	0.09571679670588235	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::SLC30A1::ENSG00000170385.9	0.0004421986	0.09885195447674418	MutSig	Adenocarcinoma
gc19_pc.cds::gencode::SMAD4::ENSG00000141646.9	4.752916e-10	9.13748101e-06	MutSig	Biliary-AdenoCA
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	1.135228e-09	1.0912379149999999e-05	MutSig	Biliary-AdenoCA
gc19_pc.cds::gencode::KRAS::ENSG00000133703.7	1.834065e-08	0.00011753299874999999	MutSig	Biliary-AdenoCA
gc19_pc.cds::gencode::PTEN::ENSG00000171862.5	9.274809000000001e-06	0.04457705075625	MutSig	Biliary-AdenoCA
gc19_pc.cds::gencode::KDM6A::ENSG00000147050.10	3.955725e-13	7.604881312499999e-09	MutSig	Bladder-TCC
gc19_pc.cds::gencode::CDKN1A::ENSG00000124762.9	3.140567e-08	0.00030188700287499997	MutSig	Bladder-TCC
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	1.592539e-07	0.0010205520758333334	MutSig	Bladder-TCC
gc19_pc.cds::gencode::FGFR3::ENSG00000068078.13	2.5801860000000003e-07	0.0012401018962500002	MutSig	Bladder-TCC
gc19_pc.cds::gencode::ELF3::ENSG00000163435.11	5.7349549999999995e-06	0.022050901975	MutSig	Bladder-TCC
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	5.09707e-09	9.799117075e-05	MutSig	Bone-Leiomyo
gc19_pc.cds::gencode::RB1::ENSG00000139687.9	1.131773e-06	0.0108791679625	MutSig	Bone-Leiomyo
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	6.661338e-16	1.2806422305e-11	MutSig	Bone-Osteosarc
gc19_pc.cds::gencode::RB1::ENSG00000139687.9	3.154068e-08	0.0003031847865	MutSig	Bone-Osteosarc
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	1e-16	6.408333333333333e-13	MutSig	Breast-AdenoCa
gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3	1e-16	6.408333333333333e-13	MutSig	Breast-AdenoCa
gc19_pc.cds::gencode::GATA3::ENSG00000107485.11	1e-16	6.408333333333333e-13	MutSig	Breast-AdenoCa
gc19_pc.cds::gencode::CBFB::ENSG00000067955.9	1.221245e-15	5.86960878125e-12	MutSig	Breast-AdenoCa
gc19_pc.cds::gencode::MAP3K1::ENSG00000095015.5	4.174439e-14	1.6050717955e-10	MutSig	Breast-AdenoCa
gc19_pc.cds::gencode::PTEN::ENSG00000171862.5	3.822498e-13	1.2247920675e-09	MutSig	Breast-AdenoCa
gc19_pc.cds::gencode::AKT1::ENSG00000142208.11	4.777012e-11	1.3119722242857143e-07	MutSig	Breast-AdenoCa
gc19_pc.cds::gencode::SF3B1::ENSG00000115524.11	5.150178e-06	0.01237652150625	MutSig	Breast-AdenoCa
gc19_pc.cds::gencode::CDH1::ENSG00000039068.14	1.023376e-05	0.021860448444444448	MutSig	Breast-AdenoCa
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	1e-16	6.408333333333333e-13	MutSig	Breast
gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3	1e-16	6.408333333333333e-13	MutSig	Breast
gc19_pc.cds::gencode::GATA3::ENSG00000107485.11	1e-16	6.408333333333333e-13	MutSig	Breast
gc19_pc.cds::gencode::PTEN::ENSG00000171862.5	4.440892e-15	2.1344037175e-11	MutSig	Breast
gc19_pc.cds::gencode::CBFB::ENSG00000067955.9	1.5099029999999998e-14	4.9396193178571426e-11	MutSig	Breast
gc19_pc.cds::gencode::CDH1::ENSG00000039068.14	1.74305e-14	4.9396193178571426e-11	MutSig	Breast
gc19_pc.cds::gencode::MAP3K1::ENSG00000095015.5	1.798561e-14	4.9396193178571426e-11	MutSig	Breast
gc19_pc.cds::gencode::AKT1::ENSG00000142208.11	6.9605429999999995e-12	1.6727054896875e-08	MutSig	Breast
gc19_pc.cds::gencode::SF3B1::ENSG00000115524.11	3.6742470000000005e-07	0.0007848599841666668	MutSig	Breast
gc19_pc.cds::gencode::DLG1::ENSG00000075711.16	1.5076229999999998e-05	0.028984052174999997	MutSig	Breast
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	1e-16	2.403125e-13	MutSig	Carcinoma
gc19_pc.cds::gencode::KRAS::ENSG00000133703.7	1e-16	2.403125e-13	MutSig	Carcinoma
gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3	1e-16	2.403125e-13	MutSig	Carcinoma
gc19_pc.cds::gencode::CTNNB1::ENSG00000168036.12	1e-16	2.403125e-13	MutSig	Carcinoma
gc19_pc.cds::gencode::APC::ENSG00000134982.12	1e-16	2.403125e-13	MutSig	Carcinoma
gc19_pc.cds::gencode::CDKN2A::ENSG00000147889.12	1e-16	2.403125e-13	MutSig	Carcinoma
gc19_pc.cds::gencode::PTEN::ENSG00000171862.5	1e-16	2.403125e-13	MutSig	Carcinoma
gc19_pc.cds::gencode::FBXW7::ENSG00000109670.9	1e-16	2.403125e-13	MutSig	Carcinoma
gc19_pc.cds::gencode::NFE2L2::ENSG00000116044.11	2.220446e-16	4.743119372222222e-13	MutSig	Carcinoma
gc19_pc.cds::gencode::MEN1::ENSG00000133895.10	5.551115e-16	1.06720185875e-12	MutSig	Carcinoma
gc19_pc.cds::gencode::ARID1A::ENSG00000117713.13	7.771561e-16	1.3582569111363636e-12	MutSig	Carcinoma
gc19_pc.cds::gencode::PBRM1::ENSG00000163939.14	2.442491e-15	3.913074122916667e-12	MutSig	Carcinoma
gc19_pc.cds::gencode::SMAD4::ENSG00000141646.9	3.774758e-15	5.183551610714286e-12	MutSig	Carcinoma
gc19_pc.cds::gencode::VHL::ENSG00000134086.7	3.774758e-15	5.183551610714286e-12	MutSig	Carcinoma
gc19_pc.cds::gencode::CBFB::ENSG00000067955.9	1.176836e-14	1.5083114733333333e-11	MutSig	Carcinoma
gc19_pc.cds::gencode::RB1::ENSG00000139687.9	3.4638959999999996e-14	4.162087537499999e-11	MutSig	Carcinoma
gc19_pc.cds::gencode::RNF43::ENSG00000108375.8	3.8358209999999997e-13	4.337862277941176e-10	MutSig	Carcinoma
gc19_pc.cds::gencode::AXIN1::ENSG00000103126.10	8.945066999999999e-13	9.553828504166665e-10	MutSig	Carcinoma
gc19_pc.cds::gencode::CDH1::ENSG00000039068.14	2.927214e-12	2.9618783763157896e-09	MutSig	Carcinoma
gc19_pc.cds::gencode::CASP8::ENSG00000064012.17	3.585687e-12	3.4467416287500003e-09	MutSig	Carcinoma
gc19_pc.cds::gencode::SPOP::ENSG00000121067.13	2.2984729999999998e-11	2.1041973059523806e-08	MutSig	Carcinoma
gc19_pc.cds::gencode::ATM::ENSG00000149311.13	2.779921e-10	2.4292718738636363e-07	MutSig	Carcinoma
gc19_pc.cds::gencode::BAP1::ENSG00000163930.5	3.004823e-10	2.511640094565217e-07	MutSig	Carcinoma
gc19_pc.cds::gencode::ARHGAP35::ENSG00000160007.13	5.037223e-10	4.0350255072916664e-07	MutSig	Carcinoma
gc19_pc.cds::gencode::RPL22::ENSG00000116251.5	6.763264e-10	5.200950016e-07	MutSig	Carcinoma
gc19_pc.cds::gencode::NRAS::ENSG00000213281.4	8.575332e-10	6.340798373076924e-07	MutSig	Carcinoma
gc19_pc.cds::gencode::ACVR2A::ENSG00000121989.10	8.909191e-10	6.343673962037037e-07	MutSig	Carcinoma
gc19_pc.cds::gencode::BRAF::ENSG00000157764.8	1.155191e-09	7.931623919642856e-07	MutSig	Carcinoma
gc19_pc.cds::gencode::PIK3R1::ENSG00000145675.10	3.4349250000000003e-09	2.2771183836206897e-06	MutSig	Carcinoma
gc19_pc.cds::gencode::SETD2::ENSG00000181555.15	3.969333e-09	2.5436808975e-06	MutSig	Carcinoma
gc19_pc.cds::gencode::B2M::ENSG00000166710.13	4.512698000000001e-09	2.7986006145161295e-06	MutSig	Carcinoma
gc19_pc.cds::gencode::MAP2K4::ENSG00000065559.10	7.214165999999999e-09	4.3341356671875e-06	MutSig	Carcinoma
gc19_pc.cds::gencode::KDM6A::ENSG00000147050.10	1.880457e-08	1.0955086613636364e-05	MutSig	Carcinoma
gc19_pc.cds::gencode::MAP3K1::ENSG00000095015.5	2.3021700000000003e-08	1.3017417132352943e-05	MutSig	Carcinoma
gc19_pc.cds::gencode::GATA3::ENSG00000107485.11	7.316535e-08	4.0188681535714293e-05	MutSig	Carcinoma
gc19_pc.cds::gencode::HRAS::ENSG00000174775.12	9.196828999999999e-08	4.911362153472222e-05	MutSig	Carcinoma
gc19_pc.cds::gencode::SF3B1::ENSG00000115524.11	1.560046e-07	8.105914689189189e-05	MutSig	Carcinoma
gc19_pc.cds::gencode::FOXA1::ENSG00000129514.4	1.609388e-07	8.142232710526316e-05	MutSig	Carcinoma
gc19_pc.cds::gencode::HLA-A::ENSG00000206503.7	2.1610029999999999e-07	0.00010652636583333332	MutSig	Carcinoma
gc19_pc.cds::gencode::SSRP1::ENSG00000149136.3	2.967883e-07	0.0001426438766875	MutSig	Carcinoma
gc19_pc.cds::gencode::AKT1::ENSG00000142208.11	4.531962e-07	0.00021250480353658533	MutSig	Carcinoma
gc19_pc.cds::gencode::BRD7::ENSG00000166164.11	8.310376999999999e-07	0.0003803976138690476	MutSig	Carcinoma
gc19_pc.cds::gencode::KMT2D::ENSG00000167548.10	9.131005999999999e-07	0.00040824090779069763	MutSig	Carcinoma
gc19_pc.cds::gencode::ALB::ENSG00000163631.12	2.3390790000000002e-06	0.0010220180403409092	MutSig	Carcinoma
gc19_pc.cds::gencode::KMT2B::ENSG00000272333.1	4.311889e-06	0.0018421348005555557	MutSig	Carcinoma
gc19_pc.cds::gencode::U2AF1::ENSG00000160201.7	6.325268e-06	0.0026435495065217393	MutSig	Carcinoma
gc19_pc.cds::gencode::BAX::ENSG00000087088.15	9.469381e-06	0.003873379781382979	MutSig	Carcinoma
gc19_pc.cds::gencode::RELA::ENSG00000173039.14	1.1058330000000001e-05	0.004429091546875001	MutSig	Carcinoma
gc19_pc.cds::gencode::KRTAP5-11::ENSG00000204571.4	1.1904929999999999e-05	0.0046708628418367345	MutSig	Carcinoma
gc19_pc.cds::gencode::TGFBR2::ENSG00000163513.13	1.2255799999999999e-05	0.004712355099999999	MutSig	Carcinoma
gc19_pc.cds::gencode::PPP2R1A::ENSG00000105568.13	1.3816979999999999e-05	0.005208459617647059	MutSig	Carcinoma
gc19_pc.cds::gencode::MESP1::ENSG00000166823.5	1.5731229999999998e-05	0.005816017245192307	MutSig	Carcinoma
gc19_pc.cds::gencode::MAP2K7::ENSG00000076984.13	1.665763e-05	0.006042319561320755	MutSig	Carcinoma
gc19_pc.cds::gencode::SPN::ENSG00000197471.7	2.49616e-05	0.008886791851851851	MutSig	Carcinoma
gc19_pc.cds::gencode::RPS6KA3::ENSG00000177189.8	3.401881e-05	0.011891120404545456	MutSig	Carcinoma
gc19_pc.cds::gencode::ACHE::ENSG00000087085.9	5.9650480000000006e-05	0.02033736187280702	MutSig	Carcinoma
gc19_pc.cds::gencode::CYHR1::ENSG00000187954.8	6.0298030000000007e-05	0.02033736187280702	MutSig	Carcinoma
gc19_pc.cds::gencode::RPL11::ENSG00000142676.8	6.610806e-05	0.02191254230172414	MutSig	Carcinoma
gc19_pc.cds::gencode::ITGA7::ENSG00000135424.11	8.384887e-05	0.027095368949999997	MutSig	Carcinoma
gc19_pc.cds::gencode::ASCL4::ENSG00000187855.5	8.456291999999999e-05	0.027095368949999997	MutSig	Carcinoma
gc19_pc.cds::gencode::DDX5::ENSG00000108654.7	8.617207e-05	0.02715832861885246	MutSig	Carcinoma
gc19_pc.cds::gencode::FAM65A::ENSG00000039523.13	9.404243000000001e-05	0.029160737366935485	MutSig	Carcinoma
gc19_pc.cds::gencode::ARID2::ENSG00000189079.11	9.706966000000001e-05	0.029621654182539685	MutSig	Carcinoma
gc19_pc.cds::gencode::DNAH12::ENSG00000174844.10	0.00010117829999999999	0.03003447807692308	MutSig	Carcinoma
gc19_pc.cds::gencode::SERPINB10::ENSG00000242550.1	0.00010154700000000001	0.03003447807692308	MutSig	Carcinoma
gc19_pc.cds::gencode::CTCF::ENSG00000102974.10	0.00010312440000000001	0.03003888772727273	MutSig	Carcinoma
gc19_pc.cds::gencode::GZMK::ENSG00000113088.5	0.0001063548	0.03051747805970149	MutSig	Carcinoma
gc19_pc.cds::gencode::MAGEC1::ENSG00000155495.8	0.0001228364	0.034728379264705886	MutSig	Carcinoma
gc19_pc.cds::gencode::CDK12::ENSG00000167258.9	0.000127947	0.03546007307142857	MutSig	Carcinoma
gc19_pc.cds::gencode::PIGR::ENSG00000162896.5	0.0001291134	0.03546007307142857	MutSig	Carcinoma
gc19_pc.cds::gencode::FAM179A::ENSG00000189350.8	0.0001372407	0.037161302218309857	MutSig	Carcinoma
gc19_pc.cds::gencode::SETDB1::ENSG00000143379.8	0.00017523299999999998	0.046555813047945205	MutSig	Carcinoma
gc19_pc.cds::gencode::TBL1XR1::ENSG00000177565.11	0.0001767789	0.046555813047945205	MutSig	Carcinoma
gc19_pc.cds::gencode::CDKN1B::ENSG00000111276.6	0.0002056486	0.053426950472972974	MutSig	Carcinoma
gc19_pc.cds::gencode::KEAP1::ENSG00000079999.9	0.00021488119999999998	0.054543045131578954	MutSig	Carcinoma
gc19_pc.cds::gencode::STK11::ENSG00000118046.10	0.00021561880000000002	0.054543045131578954	MutSig	Carcinoma
gc19_pc.cds::gencode::PCBP1::ENSG00000169564.5	0.000233644	0.05833514155844156	MutSig	Carcinoma
gc19_pc.cds::gencode::MYBL1::ENSG00000185697.12	0.0002563655	0.06318752227564102	MutSig	Carcinoma
gc19_pc.cds::gencode::NOTCH2NL::ENSG00000213240.7	0.0002663949	0.06482837914556963	MutSig	Carcinoma
gc19_pc.cds::gencode::RXRA::ENSG00000186350.8	0.0002930417	0.06933364957317073	MutSig	Carcinoma
gc19_pc.cds::gencode::SMARCB1::ENSG00000099956.13	0.0002946066	0.06933364957317073	MutSig	Carcinoma
gc19_pc.cds::gencode::RBM10::ENSG00000182872.11	0.0002957274	0.06933364957317073	MutSig	Carcinoma
gc19_pc.cds::gencode::IDH1::ENSG00000138413.9	0.00031299889999999997	0.07249884159638553	MutSig	Carcinoma
gc19_pc.cds::gencode::PROKR2::ENSG00000101292.6	0.0003548741	0.07962577353448276	MutSig	Carcinoma
gc19_pc.cds::gencode::FLT3LG::ENSG00000090554.8	0.000356305	0.07962577353448276	MutSig	Carcinoma
gc19_pc.cds::gencode::BRCA2::ENSG00000139618.10	0.0003565849	0.07962577353448276	MutSig	Carcinoma
gc19_pc.cds::gencode::HK3::ENSG00000160883.6	0.0003603351	0.07962577353448276	MutSig	Carcinoma
gc19_pc.cds::gencode::SPRED2::ENSG00000198369.5	0.00038666089999999997	0.08447222502840908	MutSig	Carcinoma
gc19_pc.cds::gencode::RPS27A::ENSG00000143947.8	0.0004166862	0.09000890106741573	MutSig	Carcinoma
gc19_pc.cds::gencode::NME7::ENSG00000143156.9	0.0004462392	0.09532165133333334	MutSig	Carcinoma
gc19_pc.cds::gencode::EGFR::ENSG00000146648.11	1e-16	1.9225e-12	MutSig	CNS-GBM
gc19_pc.cds::gencode::TP53::ENSG00000141510.11	1.154632e-14	1.10989001e-10	MutSig	CNS-GBM
gc19_pc.cds::gencode::PTEN::ENSG00000171862.5	1.513234e-13	9.697307883333334e-10	MutSig	CNS-GBM
gc19_pc.cds::gencode::IDH1::ENSG00000138413.9	2.475865e-07	0.0011899626156250001	MutSig	CNS-GBM
gc19_pc.cds::gencode::DDX3X::ENSG00000215301.5	2.220446e-16	4.268807435e-12	MutSig	CNS-Medullo
gc19_pc.cds::gencode::PTCH1::ENSG00000185920.11	1.998401e-15	1.92096296125e-11	MutSig	CNS-Medullo
gc19_pc.cds::gencode::KBTBD4::ENSG00000231880.1	1.409983e-14	9.035641058333333e-11	MutSig	CNS-Medullo
gc19_pc.cds::gencode::CTDNEP1::ENSG00000175826.7	5.804246e-13	2.78966573375e-09	MutSig	CNS-Medullo
gc19_pc.cds::gencode::SMO::ENSG00000128602.5	2.457287e-09	9.448268515000001e-06	MutSig	CNS-Medullo
gc19_pc.cds::gencode::KDM6A::ENSG00000147050.10	1.4077500000000001e-07	0.00045106656250000005	MutSig	CNS-Medullo
gc19_pc.cds::gencode::LDB1::ENSG00000198728.6	2.395459e-07	0.0006578957039285714	MutSig	CNS-Medullo
gc19_pc.cds::gencode::FMR1::ENSG00000102081.9	5.899431e-07	0.0014177070121875	MutSig	CNS-Medullo
gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3	5.549543e-06	0.01185444046388889	MutSig	CNS-Medullo
gc19_pc.cds::gencode::CTNNB1::ENSG00000168036.12	1.649036e-05	0.0317027171	MutSig	CNS-Medullo
gc19_pc.cds::gencode::IDH1::ENSG00000138413.9	1.110223e-16	2.1344037175e-12	MutSig	CNS-Oligo
